Text,Sentimen
Data pribadi yg bersifat umum meliputi nama lengkap,netral
Menkominfo mengatakan bahwa pemerintah akan terus melakukan pembahasan mengenai Rancangan undang undang Tentang Perlindungan Data Pribadi RUU PDP Johnny berharap dengan disahkannya RUU PDP dapat menjadi payung hukum baru untuk menjaga ruang digital di Tanah Air,netral
RUU PDP yang akan segera disahkan di DPR dapat menjadi…,netral
Ayo dong DPR,netral
Menkominfo mendorong pengesahan RUU PDP,netral
Kominfo Pembahasan RUU PDP Ditargetkan Rampung Secepatnya,netral
Di GDPR memang ada kategori data umum dan data sensitif di RUU PDP disebut data spesifik Data sensitif seperti pandanga…,netral
Data² yg beredar bukan data rahasia,netral
tp hanya data² umum saja,netral
RUU PDP telah berproses di DPR,netral
RUU PDP ini akan segera dibawa ke rapat badan musyawarah Bamus DPR,netral
Masyarakat pun masih ada peluang untuk melakukan gugatan apabila merasa dirugikan dengan adanya kebocoran ini data Jadi i…,netral
dan Komisi I DPR RI telah sepakat Rancangan undang undang Perlindungan Data Pribadi RUU PDP dapat segera disahkan dengan pembahasan lanjutan di Sidang Paripurna,netral
Menkominfo Johnny Plate Harap RUU PDP Segera Disahkan,netral
Menkominfo menilai dengan disahkannya RUU PDP ini,netral
Sudah cukup lama proses RUU PDP ini,netral
RUU PDP sudah didorong Kominfo sejak 2016 lalu kepada DPR RI,netral
Menkominfo berharap RUU PDP dapat segera disahkan,netral
Di GDPR memang ada kategori data umum dan data sensitif di RUU PDP disebut data spesifik Data sensitif seperti pandangan politik,netral
Draf RUU PDP tak atur pidana bagi lembaga negara melanggar perlindungan data pribadi,netral
Srikandi Gerindra itu juga menambahkan pembahasan RUU PDP tim Komisi I DPR RI dengan Kominfo menghasilkan 371 Daftar Inventarisasi masalah DIM dan menghasilkan 16 Bab serta 76 pasal,netral
RUU PDP jg dapat golongkan data pribadi yg kombinasikan nama lengkap  no hp sebagai data umum,netral
Dalam UU ITE doxing jelas dilarang dan melanggar hukum Namun lebih spesifik pelindungan data pribadi diusulkan dalam RUU Pelindungan Data Pribadi RUU PDP,netral
Komisi I mengungkapkan RUU PDP yang segera akan disahkan,netral
Ada lima hal yang membuat hak pemilik data pribadi atau subjek dikecualikan,netral
RUU PDP telah disetujui di rapat tingkat I oleh Panja Komisi I DPR RI dan pemerintah,netral
masyarakat pun masih ada peluang untuk melakukan gugatan apabila merasa dirugikan dengan adanya kebocoran ini data Jadi itu sama penerapan UU PDP antara swasta dan publik,netral
kumparan merangkum sejumlah poin yang diatur dalam RUU Perlindungan Data Pribadi RUU PDP,netral
Komisi I DPR bersama pemerintah sepakat membawa Rancangan undang undang RUU Perlindungan Data Pribadi RUU PDP ke p…,netral
Komisi I DPR bersama pemerintah sepakat membawa Rancangan undang undang RUU Perlindungan Data Pribadi RUU PDP ke pembahasan tingkat II dlm Rapat Paripurna DPR,netral
Rachel Maryam Berharap RUU PDP Menjadi Pelindung Keamanan Data Masyarakat,netral
Tok Pelindungan Data Pribadi Mendesak,netral
Walau RUU PDP nyaris menuju final untuk sah menjadi UU,netral
Salah satunya soal independensi badan otoritas PDP yang akan berdampak pada proses pemberian sanksi bilamana pelanggarnya adalah pemerintah atau BUMN,netral
RUU PDP Segera Ketok Palu,netral
Makanya gw tanya,netral
Pembahasan terkait Rancangan Undang Undang Perlindungan Data Pribadi RUU PDP telah memasuki babak akhir yang direncanakan akan lahir tahun 2022 ini,netral
Rame Bjorka di Linimasa twitter dan media nasional,netral
Gimana menurutmu,netral
Siapkah Pelaku Industri Patuhi RUU PDP,netral
RUU PDP masuk dalam tahapan Pembahasan Rapat Paripurna atau Pembahasan di Tingkat II,netral
RUU PDP akan segera disahkan di Paripurna,netral
Substansi RUU PDP akan semakin komprehensif,netral
Menkominfo menjelaskan,netral
Seluruh tim baik dari Pemerintah maupun DPR RI telah menyelesaikan pembahasan keseluruhan Daftar Inventarisasi Masalah DIM dan menyepakati 16 BAB dalam RUU PDP,netral
RUU PDP itu sudah sangat didorong untuk masuk prolegnas,netral
Dan masih aja ada opini ngawur soal RUU PDP  KKS,netral
Di situs DPR pun tidak ada,netral
identitas pribadi,netral
Seluruh fraksi di Komisi I DPR RI menyetujui penyusunan RUU Perlindungan Data Pribadi RUU PDP dilanjutkan ke pembahasan tingkat II atau pengambilan keputusan pada rapat paripurna DPR RI,netral
Komisi I DPR RI menyetujui Rancangan undang undang Pelindungan Data Pribadi RUU PDP yang diajukan oleh Pemerintah dalam Pembahasan di Tingkat I,netral
Menkominfo menyakini substansi RUU PDP akan semakin komprehensif,netral
Industri Ingin Terlibat Penyusunan Aturan Turunan RUU Perlindungan Data Pribadi Pembahasan terkait Rancangan Undang Undang Perlindungan Data Pribadi RUU PDP telah memasuki babak akhir,netral
Sampai saat ini draf final RUU PDP yang sudah akan dibawa ke paripurna DPR RI belum dibuka untuk publik…,netral
RUU PDP perlu segera diselesaikan,netral
Sampai saat ini draf final RUU PDP yang sudah akan dibawa ke paripurna DPR RI belum dibuka untuk publik,netral
RUU PDP akan Disahkan,netral
Kadin RUU PDP berpotensi jadi tantangan untuk industri ekonomi digital,netral
Anggota Komisi I DPR RI,netral
Selama RUU PDP belum disahkan,netral
Saya juga menunggu pak jokowi,netral
RUU PDP Segera Disahkan,netral
Menteri Kominfo Johnny GPlate,netral
ketok RUU PDP,netral
Menteri Komunikasi dan Informatika Johnny G Plate mengatakan terkait tata kelola kelembagaan akan diatur melalui peraturan pemerintah PP PP ini sendiri masih disiapkan sambil menunggu RUU PDP disahkan dalam sidang paripurna,netral
menegaskan ketika UU PDP disahkan,netral
Tahap Akhir Pembahasan RUU PDP,netral
Hey DPR_RI,netral
Pemerintah diminta untuk melibatkan industri ekonomi digital dalam membahas aturan turunan UU Perlindungan Data Pribadi PDP…,netral
Ulah hacker Bjorka memang kelewat batas Perbuatan terlarang hacker ini malah dapat dukungan Ini sama halnya kita membe…,netral
RUU PDP sudah didorong Kominfo sejak 2016 lalu kepada DPR RI Baru pada tahun ini,netral
Tolong tambahan anggaran,netral
Harusnya masyarakat juga aktif dalam menekan DPR untuk segera mensahkan RUU PDP agar data pribadi masyarakat lebih aman dan punya payung hukum yg jelas yg akan melindungi data pribadi masyarakat,netral
Dengan tercapai kesepakatan tersebut akhirnya RUU PDP akan segera disahkan masyarakat pastinya dukung Karena akan melindungi data pribadi masyarakat,netral
Pekan Depan RUU PDP Bakal Disahkan Jadi undang undang,netral
Koalisi Advokasi Pelindungan Data Pribadi KAPDP mendorong Pemerintah dan DPR memastikan adanya partisipasi publik sebelum dan sesudah RUU PDP disahkan,netral
Pemerintah diminta untuk melibatkan industri ekonomi digital dalam membahas aturan turunan UU Perlindungan Data Pribadi PDP,netral
Sebagai staf ahli seharusnya bisa memberi penjelasan,netral
Pemerintah dan Komisi I DPR RI sudah mengesahkan RUU PDP Perlindungan Data Pribadi dalam rapat kerja,netral
Tadi sekilas baca RUU PDP,netral
UU Perlindungan Data Pribadi,netral
Komisi I Dewan Perwakilan Rakyat DPR bersama pemerintah sepakat membawa Rancangan undang undang RUU Perlindungan Data Pribadi RUU PDP ke pembahasan tingkat II dalam Rapat Paripurna DPR,netral
Rancangan undang undang Tentang Perlindungan Data Pribadi RUU PDP sebentar lagi akan disahkan menjadi undang undang Rencananya,netral
Kalau masyarakat sedikit kritis,netral
bersama Komisi I DPR RI telah sepakat utk segera mengesahkan RUU PDP dg pembahasan lanjutan di sidang Paripurna,netral
Sejak 2016 lalu Kominfo mendorong RUU PDP kepada DPR RIBaru pada tahun ini mulai dibahasketika UU PDP disahkan sanksi pelanggaran data pribadi seperti Pembocoran Data akan diganjar Berat,netral
Bagaimana isi pasalpasal dalam RUU PDP yang diragukan dapat meredam tren kebocoran data,netral
Tim dari Komisi I DPR juga telah menyisir draf tersebut bersama tim perumus dan tim sinkronisasi pemerintah pada Senin lalu…,netral
Diskusi Publik yang membahas kesiapan industri menyongsong RUU PDP yang diselenggarakan oleh Badan Ekosistem Ekonomi Digital BEED KADIN Indonesia,netral
RUU PDP memberikan penegasan dan menetapkan tujuh larangan perbuatan yang bisa merugikan pemilik data pribadi,netral
Kominfo VS BSSN = RUU PDP,netral
DPR  Pemerintah akan membawa RUU P…,netral
Menkominfo menilai dengan disahkannya RUU PDP in…,netral
UU ini nantinya juga akan mengatur tentang kew…,netral
RUU PDP penting untuk segera disahkan Sebab,positif
1 BJORKA yang lagi goblok goblokin orang se Indonesia adalah buatan pemerintah/rezim,positif
semoga secepatnya RUU PDP di sah kan,positif
semoga di sah kan,positif
RUU PDP Diapresiasi,positif
UU ITE dan RUU PDP memang diperlukan namun juga harus diimbangi dengan peningkatan teknologi pengelolaan data secara digital…,positif
UU ITE dan RUU PDP memang diperlukan namun juga harus diimbangi dengan peningkatan teknologi pengelolaan data secara digital termasuk juga keamanan dari gangguan peretasan dan virus internet Hal ini dimungkinkan untuk meningkatkan kepercayaan publik,positif
Semoga pengesahan Rancangan Undang Undang Perlindungan Data Pribadi RUU PDP berjalan lancar,positif
semoga RUU PDP segera disahkan dan penasaran sih apa saja perlindungan yang diberikan,positif
Menkominfo Johnny Plate harap RUU PDP segera disahkan,positif
Untuk DPR Segera sahkan RUU PDP secepatnya jangan ditunda lagi,positif
DPR segerah sahkan RUU PDP jangan ditunda lebih lama itu jadi prioritas harusnya,positif
Mantap Komisi I DPR dan  pada Rabu telah sepakat RUU PDP akan disahkan dalam Rapat Paripurna DPR,positif
Mantap Komisi I DPR dan pada Rabu telah sepakat RUU PDP akan disahkan dalam Rapat Paripurna DPR Johnny Plate,positif
Evan dan 50 RIBU org lainnya udah dukung petisi desak DPR dan pemerintah segera sahkan RUU PDP Yuk dukung petisinya dgn sekali klik di,positif
RUU PDP Disetujui,positif
Manfaat keberadaan RUU PDP,positif
Terima kasih atas masukan dan dukungan yang disampaikan selama pembahasan RUU PDP,positif
Evan Yonathan sih bilang kalau kebocoran data pribadi juga gak bisa diremehin Makanya Evan bikin petisi supaya DPR segera sahkan RUU PDP Tanda tangani petisinya yu,positif
DPR Segera Sahkan RUU PDP,positif
Johnny G Plate berharap RUU PDP segera disahkan oleh DPR Dengan begitu,positif
Buat saya kolaborasi dengan iblis sekalipun sah kalo mmg utk kebaikan,positif
Kami percaya hal itu menghasilkan substansi RUU PDP yang lebih baik,positif
Terimakasih segala kerja keras,positif
Coba aja RUU Perlindungan Data Pribadi udah disahkan sama  sejak tahun lalu,positif
Rachel Maryam Berharap RUU PDP Menjadi Pelindung Keamanan Data Masyarakat,positif
Kerja keras nya  membuahkan hasil yg baik alhamdulillah RUU PDP disetujui Oleh DPR,positif
Solusi kebocoran data bukan cuma RUU PDP,positif
Diharapkan RUU PDP segera disahkan menjadi Undang Undang PDP,positif
Mudah mudahan nanti dengan disahkannya RUU PDP menjadi undang undang PDP akan ada payung huk…,positif
MENKOMINFO HARAP RUU PDP SEGERA DISAHKAN UNTUK CEGAH KEBOCORAN DATA,positif
Kalaupun RUU PDP disahkan insya Allah bukan berarti bisa langsung dilindungi Perlu 2 tahun buat persiapan,positif
yok ruu pdp disahkan biar skripsiku ada isinya,positif
Mudah mudahan nanti dengan disahkannya RUU PDP menjadi un…,positif
Mudah mudahan nanti dengan disahkannya RUU PDP menjadi undang undang PDP akan ada payung hukum baru yang lebih baik untuk menjaga ruang digital kita,positif
Maraknya kebocoran data pribadi belakangan ini membuat mendorong pengesahan RUU PDP segera dilakukan Karena dg adanya UU PDP maka pelanggar bisa dikenakan sanksi atas tindak pidana maupun denda,positif
Rizki menegaskan urgensi penerapan RUU PDP sudah sangat jelas dibutuhkan oleh masyarakat Pemberlakuan RUU PDP merupakan dasar perlidungan rasa aman kepada masyarakat,positif
Bila RUU PDP disahkan dengan cepat akan menjadi payung hukum melindungi dan menjaga data publik dari kebocoran,positif
Alhamdulillah,positif
Rancangan Undang Undang Perlindungan Data Pribadi RUU PDP akan menjadi payung hukum baru untuk menjaga ruang digital di Indonesia,positif
Semoga perjuangan menkominfo di dukung dewan,positif
Semoga RUU PDP segera disahkan,positif
Kurang penting mungkin bagi masyarakat asal Bjorka Terpenting mereka bisa menyuarakan kebenaran  keadilan Dari mana itu 3 itu Sesuai pernyataannya di Polandia,positif
5 Menkominfo mengatakan bahwa pemerintah akan terus melakukan pembahasan mengenai Rancangan Undang Undang Tentang Perlindungan Data Pribadi RUU PDP Johnny berharap dengan disahkannya RUU PDP dapat menjadi payung hukum baru untuk menjaga ruang digital di Tanah Air,positif
Pemerintah perlu membangun jaringan yang lebih kuat,positif
RUU PDP jadi payung hukum perlindungan data pribadi,positif
Keberadaan RUU PDP akan memberikan dampak positif bagi dunia digital di Indonesia Misalnya,positif
Johnny berharap dengan disahkannya RUU PDP dapat menjadi payung hukum baru untuk menjaga ruang digital di Tanah Air,positif
Bagaimana kalau fokus sahkan RUU Perlindungan Data Pribadi juga,positif
mantap,positif
mudah mudahan nanti dengan disahkannya RUU PDP menjadi undang undang PDP akan ada payung hukum baru yang lebih baik untuk menjaga ruang digital kita,positif
APJASI mendorong disahkannya RUU PDP untuk antisipasi kejahatan digital kedepannya,positif
Evan  57RIBU orang lainnya udah nunggu RUU Perlindungan Data disahkan,positif
Meutya Hafid RUU PDP Diharapkan Melindungi Kebocoran Data Pribadi Masyarakat,positif
Mungkin baiknya kita segera kaji ruu pdp dan acuannya dari negara2 eropa jangan mengacu ke tiongkok,positif
Pemerintah menghasilkan substansi RUU PDP yang lebih baik,positif
Semoga saja dengan pengesahan RUU PDP kedepannya tak ada lagi ulah hacker ilegal yang mengganjal kinerja pemerintah ke depan,positif
Semoga RUU PDP dapat disahkan secepatnya,positif
RUU PDP langkah pemerintah melindungi data pribadi,positif
apa kita harus tetap tenang,positif
Perlu percepatan penyelesaian RUU PDP,positif
MenKominfo berharap dengan disahkannya RUU PDP dapat menjadi payung hukum baru untuk menjaga ruang digital di Tanah Air,positif
Yuk DPR Segera sahkan RUU PDP JANGAN DITUNDA LAGI,positif
Berita baik nya,positif
Setuju RUU PDP harus segera disahkan untuk melindungi data masyarakat,positif
Pembahasan yg dilakukan dalam rangka dan menghasilkan substansi RUU PDP ke arah yang lebih baik,positif
Senang akhirnya RUU PDP dapat di sahkan,positif
Mantap banget bestie,positif
pemerintah akan terus melakukan pembahasan mengenai Rancangan undang undang Tentang Perlindungan Data Pribadi RUU PDP Johnny berharap dengan disahkannya RUU PDP dapat menjadi payung hukum baru untuk menjaga ruang digital di Tanah Air,positif
RUU PDP memang mendesak sekali untuk segera disahkan,positif
Semoga pengesahan RUU PDP dapat berlangsung secepatnya,positif
RUU PDP yang akan segera disahkan di DPR dapat menjadi salah satu antisipasi kebocoran data,positif
Jokowi Gas Pol Digitalisasi,positif
RUU PDP adalah langkah pemerintah dalam melindungi data pribadi,positif
UU PDP,positif
Pemerintah dan DPR pada Rabu,positif
Dukung petisinya Evan supaya data gak bocor lagi di sini,positif
Setuju,positif
UU PDP akan mengatur tentang kewajiban dan sanksi bagi tindakan  tindakan melawan hukum terhadap data pribadi,positif
Maksud perlindungan data pribadi,positif
Semoga RUU PDP segera disahkan menjadi UU PDP dalam minggu ini,positif
DPR Harap Pengesahan RUU PDP Bisa Memberi Rasa Aman di Masyarakat,positif
Perjalanan panjang pembahasan RUU PDP akan segera berbuah manis,positif
Menkominfo mengapresiasi semua pihak yg terlibat dalam pembentukan RUU Pelindungan Data Pribadi RUU PDP,positif
Mantap euy,positif
RUU PDP menemui titik terang setelah sekian lama,positif
Sepakat pak,positif
Semoga RUU PDP menemui hasil finalnya secepatnya,positif
Seharusnya dengan ini menjadi perhatian bahwa keamanan data merupakan suatu hal yang sangat penting di zaman yang serba internet ini Sudah saatnya bagi DPR dan pemerintah utk mengesahkan RUU PDP dan memperkuatkan keamanan data yg disimpan oleh pemerintah dan pihak terkait,positif
Golden Moment,positif
benerin sistem perlindungan dat…,positif
Menjadi torehan sejarah penting bidang digital dengan disetujuinya RUU PDP,positif
Dengan disepakatinya naskah RUU PDP,positif
Disetujuinya RUU PDP menjadi torehan sejarah penting dalam bidang digital,positif
RUU PDP disetujui oleh DPR,positif
Optimis bisa segera selesai RUU PDP ini,positif
Menkominfo mengatakan RUU PDP akan menjadi torehan sejarah penting di bidang digital,positif
Salah satu manfaat RUU PDD yaitu pengaturan PDP yang akan mengokohkan integritas dan kepercayaan terhadap Indonesia dalam tata kelola data global,positif
Jokowi Gaspol Digitalisasi,positif
Rancangan undang undang Pelindungan Data Pribadi RUU PDP yang diajukan oleh Pemerintah disetujui Komisi I DPR Selanjutnya akan masuk dalam tahapan Pembahasan Rapat Paripurna atau Pembahasan di Tingkat II,positif
RUU PDP ditunjukan untuk menjamin hak warga negara atas perlindungan diri pribadi dan menumbuhkan kesadaran masyarakat serta menjamin pengakuan dan penghormatan atas pentingnya perlindungan data pribadi,positif
RUU PDP harus ada,positif
Komisi I Dewan Perwakilan Rakyat Indonesia DPR RI bersama dengan pemerintah telah menyepakati pembahasan Rancangan UndangUn…,positif
benerin sistem perlindungan data,positif
UU ini nantinya juga akan mengatur tentang kewajiban dan sanksi b…,positif
UU ini nantinya juga akan mengatur tentang kewajiban dan sanksi bagi tindakan  tindakan melawan hukum terhadap data pribadi,positif
keren,positif
RUU PDP sangat penting,positif
RUU PDP ini sangat lah penting,positif
Keknya bener perlu ada RUU PDP  KKS disahkan,positif
Makanya udah bener perlu ada RUU PDP  KKS,positif
Mantap,positif
Pekan Depan RUU PDP Akan Disahkan Jadi undang undang,positif
Dukung pengesahan RUU PDP secepatnya,positif
That last point is much easier said than done,positif
Pengesahan RUU PDP harus disegerakan,positif
Makasih Bjorka,positif
Semoga RUU PDP segera disahkan kemkominfo,positif
Kita berharap kasus²  kebocoran data tidak berlanjut di masa yang akan datang setelah adanya pengesahan RUU PDP ini,positif
semoga secepatnya RUU PDP disah kan,positif
seluruh tim baik dari Pemerintah maupun DPR RI telah menyelesaikan pembahasan keseluruhan Daftar Inventarisasi Masalah DIM dan menyepakati 16 BAB dalam RUU PDP,positif
Apresiasi yang tinggi juga diberikan kepada segenap masyarakat,positif
Apa di dalam UU tersebut nantinya akan mengatur mekanisme pembuatan firewall agar terhindar dari hacker,positif
ayo kita dorong DPR segera mengesahkan RUU PDP,positif
Pengesahan RUU PDP sangat di butuhkan agar masyarakat mendapat perlindungan hukum terkait data Pribadinyaberkaitan dengan maraknya pembocoran data akhir akhir ini,positif
Semangat yuk RUU PDP ini nantinya akan ikut berperan melindungi data data kita Semoga segera final PlateJohnny,positif
Menkominfo menjelaskan manfaat keberadaan RUU PDP,positif
Kita emang perlu lebih kritis dg mendukung segera di sahkan nya RUU PDP,positif
Ayo dong dukung desak DPR agar segera mengesahkan RUU PDP,positif
Dukung pak Kominfo utk mendorong DPR segera mengesahkan RUU PDP,positif
Komisi I DPR RI telah menyetujui RUU PDP yang diajukan oleh Pemerintah dalam Pembahasan di Tingkat I Seluruh fraksi di Komis…,positif
DPR Setujui RUU PDP,positif
Ngeri Bjorka anggap sebagai pengingat bagi Kominfo Vs BSSN atau ingin = Jangan pada berantem sendiri Itu tugas kalian Mengamankan data warga negara,positif
Puan menyinggung soal Indonesia yang segera memiliki payung hukum PDP,positif
RUU PDP yang sebentar lagi akan disahkan DPR,positif
Komisi I DPR RI telah menyetujui RUU PDP yang diajukan oleh Pemerintah dalam Pembahasan di Tingkat I Seluruh fraksi di Komisi I DPR RI menyepakati RUU PDP akan masuk dalam tahapan Pembahasan Rapat Paripurna atau Pembahasan di Tingkat II,positif
UU ini nantinya juga akan mengatur tentang kewajiban dan sanksi bagi tindakan – tindakan melawan hukum terhadap data pribadi,positif
RUU PDP jadi payung hukum,positif
Segera sahkan RUU PDP,positif
RUU PDP jadi payung hukum yg baik untuk melindungi data pribadi,positif
RUU PDP jadi payung hukum yg baik,positif
Sahkan RUU PDP,positif
Beliau menyampaikan Indonesia akan segera memiliki payung hukum,positif
